Wavelength,Responsivity
487.1,7.9869
487.2,7.9992
487.3,8.0116
487.4,8.0239
487.5,8.0363
487.6,8.0487
487.7,8.0611
487.8,8.0736
487.9,8.086
488,8.0985
488.1,8.111
488.2,8.1235
488.3,8.136
488.4,8.1486
488.5,8.1611
488.6,8.1737
488.7,8.1863
488.8,8.199
488.9,8.2116
489,8.2243
489.1,8.2369
489.2,8.2496
489.3,8.2624
489.4,8.2751
489.5,8.2879
489.6,8.3006
489.7,8.3134
489.8,8.3262
489.9,8.3391
490,8.3519
490.1,8.3648
490.2,8.3777
490.3,8.3906
490.4,8.4035
490.5,8.4165
490.6,8.4294
490.7,8.4424
490.8,8.4554
490.9,8.4684
491,8.4814
491.1,8.4944
491.2,8.5074
491.3,8.5204
491.4,8.5334
491.5,8.5465
491.6,8.5595
491.7,8.5726
491.8,8.5856
491.9,8.5987
492,8.6117
492.1,8.6248
492.2,8.6379
492.3,8.6509
492.4,8.664
492.5,8.6771
492.6,8.6902
492.7,8.7033
492.8,8.7164
492.9,8.7296
493,8.7427
493.1,8.7558
493.2,8.7689
493.3,8.7821
493.4,8.7952
493.5,8.8084
493.6,8.8216
493.7,8.8347
493.8,8.8479
493.9,8.8611
494,8.8743
494.1,8.8875
494.2,8.9007
494.3,8.9139
494.4,8.9271
494.5,8.9403
494.6,8.9535
494.7,8.9667
494.8,8.98
494.9,8.9932
495,9.0065
495.1,9.0197
495.2,9.033
495.3,9.0463
495.4,9.0595
495.5,9.0728
495.6,9.0861
495.7,9.0994
495.8,9.1127
495.9,9.126
496,9.1393
496.1,9.1526
496.2,9.166
496.3,9.1793
496.4,9.1926
496.5,9.206
496.6,9.2193
496.7,9.2327
496.8,9.246
496.9,9.2594
497,9.2728
497.1,9.2862
497.2,9.2995
497.3,9.3129
497.4,9.3263
497.5,9.3397
497.6,9.3532
497.7,9.3666
497.8,9.38
497.9,9.3934
498,9.4069
498.1,9.4203
498.2,9.4338
498.3,9.4472
498.4,9.4607
498.5,9.4741
498.6,9.4876
498.7,9.5011
498.8,9.5146
498.9,9.5281
499,9.5416
499.1,9.5551
499.2,9.5686
499.3,9.5821
499.4,9.5956
499.5,9.6092
499.6,9.6227
499.7,9.6363
499.8,9.6498
499.9,9.6634
500,9.6769
500.1,9.6905
500.2,9.7041
500.3,9.7177
500.4,9.7312
500.5,9.7448
500.6,9.7584
500.7,9.772
500.8,9.7857
500.9,9.7993
501,9.8129
501.1,9.8265
501.2,9.8402
501.3,9.8538
501.4,9.8675
501.5,9.8811
501.6,9.8948
501.7,9.9084
501.8,9.9221
501.9,9.9358
502,9.9495
502.1,9.9632
502.2,9.9769
502.3,9.9906
502.4,10.0044
502.5,10.0182
502.6,10.0321
502.7,10.046
502.8,10.06
502.9,10.074
503,10.0881
503.1,10.1023
503.2,10.1165
503.3,10.1307
503.4,10.145
503.5,10.1594
503.6,10.1738
503.7,10.1883
503.8,10.2028
503.9,10.2174
504,10.232
504.1,10.2467
504.2,10.2614
504.3,10.2762
504.4,10.2911
504.5,10.3059
504.6,10.3209
504.7,10.3359
504.8,10.351
504.9,10.3661
505,10.3812
505.1,10.3964
505.2,10.4117
505.3,10.427
505.4,10.4424
505.5,10.4578
505.6,10.4733
505.7,10.4889
505.8,10.5045
505.9,10.5201
506,10.5358
506.1,10.5516
506.2,10.5674
506.3,10.5832
506.4,10.5991
506.5,10.6151
506.6,10.6311
506.7,10.6472
506.8,10.6633
506.9,10.6795
507,10.6957
507.1,10.712
507.2,10.7284
507.3,10.7448
507.4,10.7612
507.5,10.7777
507.6,10.7943
507.7,10.8109
507.8,10.8275
507.9,10.8442
508,10.861
508.1,10.8778
508.2,10.8947
508.3,10.9116
508.4,10.9286
508.5,10.9457
508.6,10.9628
508.7,10.9799
508.8,10.9971
508.9,11.0143
509,11.0317
509.1,11.049
509.2,11.0664
509.3,11.0839
509.4,11.1014
509.5,11.119
509.6,11.1366
509.7,11.1543
509.8,11.172
509.9,11.1898
510,11.2076
510.1,11.2255
510.2,11.2435
510.3,11.2615
510.4,11.2795
